Plants,Pollinators
Ranunculus peduncularis,Caenohalictus 
Raphanus raphanistrum,Apis mellifera
Raphanus sativus,Bombus dahlbomii
Retanilla ephedra,Corynura herbsti
Retanilla trinervia,Alloscirtetica tristrigata
Retanilla trinervia,Apis mellifera
Retanilla trinervia,Apis mellifera
Retanilla trinervia,Cadeguala albopilosa
Retanilla trinervia,Colletes cyanescens
Retanilla trinervia,Corynura chloris
Retanilla trinervia,Corynura cristata
Retanilla trinervia,Corynura herbsti
Retanilla trinervia,Lasioglossum 
Retanilla trinervia,Ruizantheda mutabilis
Retanilla trinervia,Trichophthalma
Rhaphithamnus spinosus,Apis mellifera
Rhaphithamnus spinosus,Bombus dahlbomii
Rhaphithamnus spinosus,Cadeguala albopilosa
Rhaphithamnus spinosus,Corynura patagonica
Rhaphithamnus spinosus,Eryphus laetus
Rhodolirium montanum,Megachile saulcyi
Rosa rubiginosa,Bombus dahlbomii
Rosa rubiginosa,Bombus ruderatus
Rubus ulmifolius,Apis mellifera
Rubus ulmifolius,Bombus dahlbomii
Rubus ulmifolius,Bombus ruderatus
Rumex acetosella,Apis mellifera
Salix humboldtiana,Apis mellifera
Sanicula graveolens,Scaeva melanostoma
Schinus molle,Apis mellifera
Schizanthus grahamii,Centris cineraria
Schizanthus hookeri,Alloscirtetica gayi
Schizanthus hookeri,Anthidium funereum
Schizanthus hookeri,Anthophora paranensis
Schizanthus hookeri,Arthrobrachus nigromaculatus
Schizanthus hookeri,Bombus dahlbomii
Schizanthus hookeri,Bombus terrestris
Schizanthus hookeri,Centris cineraria
Schizanthus hookeri,Centris nigerrima
Schizanthus hookeri,Chalepogenus 
Schizanthus hookeri,Colias vauthierii
Schizanthus hookeri,Lasia corvina
Schizanthus hookeri,Megachile 
Schizanthus hookeri,Megachile semirufa
Schizanthus hookeri,Svastrides melanura
Schizanthus hookeri,Syrphus octomaculatus
Schizanthus hookeri,Trichophthalma
Schizanthus hookeri,Trichophthalma barbarossa
Schizanthus integrifolius,Leioproctus 
Schizanthus integrifolius,Svastrides melanura
Schizanthus integrifolius,Tatochila
Schizanthus pinnatus,Anthidium chilense
Schizanthus pinnatus,Lasia corvina
Schizanthus pinnatus,Mycteromyia conica
Schizanthus porrigens,Leioproctus 
Schizanthus tricolor,Alloscirtetica gayi
Schizanthus tricolor,Anthidium chilense
Schizanthus tricolor,Leioproctus 
Scyphanthus elegans,Alloscirtetica 
Scyphanthus elegans,Anthidium chilense
Scyphanthus elegans,Anthidium funereum
Scyphanthus elegans,Coelioxys 
Scyphanthus elegans,Megachile 
Scyphanthus elegans,Megachile semirufa
Senecio ,Bibionidae 
Senecio ,Bombus dahlbomii
Senecio ,Faunula leucoglene
Senecio ,Pseudolucia chilensis
Senecio ,Scaeva melanostoma
Senecio ,Villa 
Senecio bustillosianus,Anthidium chilense
Senecio bustillosianus,Anthidium funereum
Senecio bustillosianus,Anthophora incerta
Senecio bustillosianus,Auca coctei
Senecio bustillosianus,Bombus dahlbomii
Senecio bustillosianus,Centris cineraria
Senecio bustillosianus,Eristalis tenax
Senecio bustillosianus,Faunula leucoglene
Senecio bustillosianus,Hypodynerus
Senecio bustillosianus,Megachile 
Senecio bustillosianus,Megachile semirufa
Senecio bustillosianus,Scaeva melanostoma
Senecio bustillosianus,Tatochila mercedis
Senecio bustillosianus,Villa 
Senecio bustillosianus,Yramea 
Senecio crithmoides,Anthidium funereum
Sisymbrium ,Apis mellifera
Sisyrinchium arenarium,Anthidium chilense
Sisyrinchium arenarium,Caenohalictus 
Sisyrinchium arenarium,Chalepogenus caeruleus
Sisyrinchium arenarium,Megachile 
Solanum lycopersicum,Bombus dahlbomii
Solanum lycopersicum,Bombus terrestris
Sophora microphylla,Bombus dahlbomii
Sophora microphylla,Bombus ruderatus
Stachys albicaulis,Alloscirtetica 
Stachys albicaulis,Alloscirtetica gayi
Stachys albicaulis,Alloscirtetica rufitarsis
Stachys albicaulis,Anthidium gayi
Stachys albicaulis,Arthrobrachus nigromaculatus
Stachys albicaulis,Bombus dahlbomii
Stachys albicaulis,Bombus ruderatus
Stachys albicaulis,Bombus terrestris
Stachys albicaulis,Centris cineraria
Stachys albicaulis,Centris nigerrima
Stachys albicaulis,Chalepogenus 
Stachys albicaulis,Colias vauthierii
Stachys albicaulis,Lasia corvina
Stachys albicaulis,Megachile 
Stachys albicaulis,Megachile semirufa
Stachys albicaulis,Scaeva melanostoma
Stachys albicaulis,Syrphus octomaculatus
Stachys albicaulis,Trichophthalma
Stachys albicaulis,Trichophthalma barbarossa
Taraxacum officinale,Apis mellifera
Taraxacum officinale,Bombyliidae 
Taraxacum officinale,Megachile semirufa
Taraxacum officinale,Scaeva melanostoma
Taraxacum officinale,Yramea 
Tepualia stipularis,Allograpta hortensis
Tepualia stipularis,Allograpta pulchra
Tepualia stipularis,Apis mellifera
Tepualia stipularis,Bombus dahlbomii
Tepualia stipularis,Cadeguala albopilosa
Tepualia stipularis,Chauliognathus 
Tepualia stipularis,Dolichogyna chilensis
Tepualia stipularis,Fazia macquarti
Tepualia stipularis,Mecopselaphus
Tepualia stipularis,Melanophthalma
Tepualia stipularis,Mordella erythrura
Tepualia stipularis,Platycheirus chalconota
Tepualia stipularis,Rhopalomerus tenuirostris
Tepualia stipularis,Stilbosoma cyaneum
Tepualia stipularis,Syrphus octomaculatus
Tepualia stipularis,Vespula germanica
Trevoa quinquenervia,Apis mellifera
Trevoa quinquenervia,Colletes cyanescens
Trevoa quinquenervia,Corynura cristata
Trevoa quinquenervia,Corynura herbsti
Trevoa quinquenervia,Syrphus
Trichopetalum plumosum,Allograpta 
Trichopetalum plumosum,Lichnia limbata
Trifolium pratense,Apis mellifera
Trifolium pratense,Bombus dahlbomii
Trifolium pratense,Bombus ruderatus
Trifolium pratense,Colletes cognatus
Trifolium pratense,Diphaglossa gayi
Trifolium repens,Apis mellifera
Tristagma bivalve,Caenohalictus 
Tropaeolum polyphyllum,Anthidium
Tropaeolum polyphyllum,Megachile 
Tropaeolum polyphyllum,Megachile semirufa
Tropaeolum polyphyllum,Scaeva melanostoma
Tropaeolum sessilifolium,Megachile 
Ugni candollei,Bombus dahlbomii
Ugni molinae,Apis mellifera
Ugni molinae,Bombus dahlbomii
Ugni molinae,Cadeguala albopilosa
Ulex europaeus,Bombus dahlbomii
Ulex europaeus,Bombus ruderatus
